"id","partcoun","colcoun","con","deagen_1","deagen_2","deagen_3","deagen_4","deagen_5","deagen_6","deagen_7","deagen_8","deagen_9","deagen_10","deagen_11","deagen_12","decom_1","decom_2","decom_3","decom_4","decom_5","decom_6","decom_7","decom_8","decom_9","decom_10","decom_11","decom_12","dedom_1","dedom_2","dedom_3","dedom_4","dedom_5","dedom_6","dedom_7","dedom_8","dedom_9","dedom_10","dedom_11","dedom_12","deweak_1","deweak_2","deweak_3","deweak_4","deweak_5","deweak_6","deweak_7","deweak_8","deweak_9","deweak_10","deweak_11","deweak_12","preagen_1","preagen_2","preagen_3","preagen_4","preagen_5","preagen_6","preagen_7","preagen_8","preagen_9","preagen_10","preagen_11","preagen_12","precom_1","precom_2","precom_3","precom_4","precom_5","precom_6","precom_7","precom_8","precom_9","precom_10","precom_11","precom_12","predom_1","predom_2","predom_3","predom_4","predom_5","predom_6","predom_7","predom_8","predom_9","predom_10","predom_11","predom_12","preweak_1","preweak_2","preweak_3","preweak_4","preweak_5","preweak_6","preweak_7","preweak_8","preweak_9","preweak_10","preweak_11","preweak_12","selfconagen_1","selfconagen_2","selfconagen_3","selfconagen_4","selfconagen_5","selfconagen_6","selfconagen_7","selfconagen_8","selfconagen_9","selfconagen_10","selfconagen_11","selfconagen_12","selfconcom_1","selfconcom_2","selfconcom_3","selfconcom_4","selfconcom_5","selfconcom_6","selfconcom_7","selfconcom_8","selfconcom_9","selfconcom_10","selfconcom_11","selfconcom_12","selfcondom_1","selfcondom_2","selfcondom_3","selfcondom_4","selfcondom_5","selfcondom_6","selfcondom_7","selfcondom_8","selfcondom_9","selfcondom_10","selfcondom_11","selfcondom_12","selfconweak_1","selfconweak_2","selfconweak_3","selfconweak_4","selfconweak_5","selfconweak_6","selfconweak_7","selfconweak_8","selfconweak_9","selfconweak_10","selfconweak_11","selfconweak_12","preman_1","preman_2","preman_3","preman_4","maleprepro_text","reman_text","unman_text","age","maj","maj_text","famroles_1","famroles_2","subsosta","areagrow","re_1","re_2","child","cit","mi_1","mi_1_text","mi_2","gen","gen_text","ed","marstat","sexor","sexor_text","eth_whitecaueu","eth_eastapais","eth_southa","eth_blackafa","eth_censouthaf","eth_armideastnorthaf","eth_abnafirstna","eth_southahislat","eth_carsouthis","eth_cana","eth_noid","eth_none","eth_oth","eth_oth_text","femid","masid","genid","polor_1","polor_2","atcheck_1","atcheck_2","atcheck_3","deagen","decom","dedom","deweak","preagen","precom","predom","preweak","selfconagen","selfconcom","selfcondom","selfconweak","preman","eth_sum","eth_sumex","justwhitecaueuid","eth_justloc","eth_white","eth_nonwhite","eth_multi","eth_di","eth_tri","sexor_di","atcheckper_1","atcheckper_2","atcheckper_3","atcheckper_sum"
"1",2,6,1,5,4,7,6,6,7,6,6,6,4,4,5,2,2,1,2,1,1,2,3,3,4,2,3,7,7,6,7,6,7,7,7,7,4,7,7,2,1,3,2,2,3,1,5,3,4,5,2,5,5,6,7,7,7,7,7,7,7,7,6,5,6,5,4,5,4,7,7,5,6,5,7,4,4,3,2,3,1,1,1,2,3,2,2,5,2,4,3,2,1,2,1,3,4,4,2,3,4,7,5,5,6,4,5,4,5,7,7,6,5,5,4,5,5,7,4,6,2,3,5,4,4,3,4,5,2,1,1,3,5,4,4,7,2,4,3,6,2,2,1,5,5,3,3,2,6,5,5,"Being a homosexual male. Specifically being interested in an intimate relationship with the same sex.","Drink large amounts of alcohol to impress at a party or sleep with many women.","When I lost to my girlfriend in mini golf.",18,9,NA,4,1,"6",1,1,1,"0",1,NA," ",1,1,NA,2,2,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0," ",3,6,7,4,5,6,2,3,5.5,2.16666666666667,6.58333333333333,2.75,6.5,5.5,2.33333333333333,2.75,5.16666666666667,4.75,3.33333333333333,3.58333333333333,4.5,1,1,1,0,1,0,0,0,0,0,1,1,1,3
"2",2,6,1,5,5,5,5,5,5,5,4,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,NA,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,3,4,6,5,6,6,6,6,7,6,6,6,2,3,2,5,3,2,3,5,4,5,4,4,3,5,5,5,5,4,4,5,4,4,3,3,5,2,2,2,3,2,4,3,3,4,3,2,5,3,4,1,"crying","get a good job and provide for a family","i didn't care",18,9,NA,5,3,"5",1,2,2,"0",1,NA," ",1,1,NA,3,1,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0," ",1,7,4,5,3,6,2,3,4.91666666666667,2,4.75,NA,5,2,4.75,2,5.58333333333333,3.5,4.16666666666667,2.91666666666667,3.25,1,1,1,0,1,0,0,0,0,0,1,1,1,3
"3",2,6,1,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,6,6,6,6,6,6,6,6,6,2,2,2,2,2,6,6,6,6,6,6,2,1,7,5,7,7,7,7,7,7,7,7,7,4,5,5,5,5,5,5,5,5,5,3,5,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,6,5,5,6,6,4,6,6,5,7,6,6,6,4,5,4,4,4,6,3,7,6,6,3,1,2,5,4,2,1,1,1,6,1,1,5,4,2,2,2,2,4,2,6,2,1,2,1,1,7,1,"Going to the spa.","Do construction involving heavy machinery.",NA,18,1,NA,5,4,"5",1,1,2,"0",1,NA," ",1,1,NA,3,1,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0," ",2,6,7,5,7,6,2,3,6,2,5.66666666666667,4,6.33333333333333,4.75,1.16666666666667,1.16666666666667,5.58333333333333,5.08333333333333,2.33333333333333,2.83333333333333,2.5,1,1,1,0,1,0,0,0,0,0,1,1,1,3
"4",2,6,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,4,2,1,1,1,4,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,6,6,6,6,2,5,5,5,6,6,7,6,6,6,6,6,6,5,6,5,6,6,5,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,2,2,2,2,5,5,5,5,"violence","Act professional","Left the situation",21,3,NA,7,5,"5",NA,4,11,"0",1,NA," ",2,1,NA,3,1,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0," ",1,1,1,2,7,6,2,3,4,3.75,4.5,3.91666666666667,5.58333333333333,6,1.75,1.58333333333333,5.08333333333333,5.75,1,1.66666666666667,5,1,1,1,0,1,0,0,0,0,0,1,1,1,3
"5",2,6,1,4,4,4,4,4,4,4,4,5,4,4,4,4,2,2,2,3,3,3,4,4,4,4,4,4,4,4,6,4,5,5,4,5,4,4,4,3,4,4,3,4,4,3,4,4,4,4,2,4,6,6,6,5,7,6,7,7,7,7,6,5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,5,4,5,4,5,6,4,5,5,4,4,4,3,4,4,5,4,5,4,3,4,5,6,7,5,4,5,6,7,4,6,4,6,5,5,6,4,4,5,4,5,4,6,4,5,4,5,3,4,4,4,4,4,5,6,3,4,6,3,4,2,3,3,2,4,4,5,4,4,4,5,4,4,NA,NA,"Responded by doing something perceived as more manly.",21,1,NA,4,4,"3",2,1,2,"0",1,NA," ",1,1,NA,2,2,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0," ",3,5,5,4,7,6,2,3,4.08333333333333,3.25,4.41666666666667,3.58333333333333,6.16666666666667,4.75,4.75,4,5.41666666666667,4.75,4.16666666666667,3.66666666666667,4.25,1,1,1,0,1,0,0,0,0,0,1,1,1,3
"6",2,6,1,7,4,6,3,6,4,2,4,5,NA,4,3,2,6,2,2,2,1,2,4,2,2,1,1,5,6,5,5,5,6,5,5,6,5,6,6,2,4,2,3,3,3,3,NA,3,3,NA,4,5,7,6,7,7,6,4,6,7,6,7,6,4,6,5,5,3,3,3,6,6,5,3,3,5,4,5,5,6,6,2,5,3,3,1,1,2,1,1,2,1,1,1,2,1,6,NA,2,6,7,7,6,7,7,3,7,7,5,6,5,3,6,3,3,2,6,7,5,2,3,2,4,6,6,6,6,6,7,4,6,2,5,4,7,7,1,2,2,2,1,2,1,2,6,NA,2,6,7,7,6,"Crying","Become a father","Nothing",19,4,NA,4,2,"5",2,3,8,"0",1,NA," ",1,1,NA,3,1,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0," ",2,6,1,6,6,6,2,3,NA,2.25,5.41666666666667,NA,6.16666666666667,4.33333333333333,3.83333333333333,NA,6.08333333333333,3.83333333333333,5.41666666666667,NA,6.5,1,1,1,0,1,0,0,0,0,0,1,1,1,3
"7",2,6,1,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,3,5,5,5,1,2,3,7,7,7,5,5,1,1,1,7,5,6,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,5,6,7,7,7,6,7,7,1,1,1,4,4,4,1,1,1,4,1,1,6,2,1,1,1,1,1,1,2,1,1,1,4,6,5,4,"being overly sympathetic, crying","have sexual inter coarse with a woman","crying",19,6,NA,6,3,"4",2,2,9,"0",1,NA," ",1,1,NA,3,2,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0," ",1,7,7,6,7,6,2,3,7,1,6,1,7,4.58333333333333,2.75,1,6.66666666666667,6.66666666666667,2,1.58333333333333,4.75,1,1,0,1,0,0,0,NA,NA,0,1,1,1,3
"8",2,6,1,5,4,5,6,4,3,5,5,5,4,2,6,3,3,5,4,5,4,5,4,3,3,3,4,4,4,3,5,4,5,6,4,2,2,5,6,3,3,3,3,5,4,5,5,6,4,3,2,6,5,6,4,4,4,4,3,3,3,3,5,4,4,4,5,3,6,6,3,4,3,2,5,5,5,4,3,5,4,5,3,4,4,5,5,3,5,5,3,3,4,5,4,4,5,6,5,3,3,4,3,3,4,4,5,5,3,3,3,3,2,3,5,5,3,2,5,4,4,3,3,4,3,3,4,3,4,5,4,5,6,6,6,5,6,7,4,5,4,3,4,3,3,5,4,3,5,4,5,NA,"playing sports",NA,19,9,NA,5,2,"5",1,3,2,"0",1,NA," ",1,1,NA,3,2,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0," ",1,7,4,3,3,6,2,3,4.5,3.83333333333333,4.16666666666667,3.83333333333333,4.16666666666667,4.08333333333333,4.33333333333333,4.33333333333333,3.58333333333333,3.5,4.41666666666667,4.41666666666667,4.25,1,1,1,0,1,0,0,0,0,0,1,1,1,3
"9",2,6,1,6,5,5,5,5,5,5,5,5,6,5,5,2,2,2,2,2,2,2,2,2,2,3,2,4,4,3,5,5,6,6,5,6,4,6,6,2,3,3,3,3,3,3,4,3,4,2,2,6,6,6,7,6,6,6,6,6,5,7,6,5,5,5,5,2,2,4,6,4,3,5,5,5,5,5,5,5,3,4,5,4,5,5,5,2,1,1,1,1,1,1,1,1,2,2,2,3,2,5,4,4,5,5,2,3,3,5,7,6,5,6,6,4,5,5,6,4,4,3,4,4,4,5,5,5,5,5,5,4,6,6,3,5,3,3,3,3,3,1,2,6,4,2,5,3,5,5,3,"There are lot of examples. Participating in LGBTQ behaviour or dressing in traditionally feminine clothing are some of the big ones.","Be straight, drink beer, crossfit, work outdoors and be good at fixing things.","I did nothing. I didn't talk about it to anyone and I buried my feelings.",18,6,NA,5,3,"4",2,1,1,"0",1,NA," ",1,1,NA,3,1,3,NA,1,0,0,0,0,0,0,0,0,0,0,0,0," ",3,6,6,3,6,6,2,3,5.16666666666667,2.08333333333333,5,2.91666666666667,6.08333333333333,4.25,4.66666666666667,1.33333333333333,4,4.83333333333333,4.75,3.33333333333333,4,1,1,1,0,1,0,0,0,0,1,1,1,1,3
"10",2,6,1,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,3,3,3,4,3,5,5,5,5,5,5,5,6,3,5,5,3,4,3,2,4,4,3,4,3,3,3,3,5,6,5,7,5,5,5,5,5,4,5,4,6,6,6,6,6,6,6,6,6,6,6,6,3,2,4,4,2,2,1,1,1,2,2,3,2,1,3,3,1,1,1,1,2,3,3,2,5,5,5,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,7,6,7,3,3,3,4,3,4,2,2,2,3,3,3,4,3,4,3,2,2,2,2,2,3,2,3,2,2,4,1,"depression","respect everyone equally",NA,30,6,NA,7,1,"4",1,4,2,"0",1,NA," ",2,1,NA,2,1,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0," ",2,6,2,5,7,6,2,3,4.08333333333333,3.41666666666667,4.75,3.25,5.08333333333333,6,2.25,1.91666666666667,5.58333333333333,6.16666666666667,2.91666666666667,2.66666666666667,2.25,1,1,1,0,1,0,0,0,0,0,1,1,1,3
